Restaurant ID,Restaurant Name,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
8417,World Cafe - Vibe by The LaLiT Traveller,"North Indian, Continental, Chinese",1900,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average,56
309757,Chaudhary Ke Mashhoor Paranthe,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,14
307903,Thakur Bakers,Bakery,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
313502,FoodByMom,North Indian,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,161
18409175,Mr. Brown,"Fast Food, Cafe, Desserts, Bakery",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,52
18456342,Mitalis Kitchen,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
18244229,The Big Scoop,Ice Cream,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
300713,9 Mars Lounge,"North Indian, Chinese",2500,Indian Rupees(Rs.),Yes,No,No,No,4,2.5,Orange,Average,184
8623,Barista,Cafe,650,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,33
1318,Baskin Robbins,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,27
311523,Burger King,"Burger, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,327
8590,Cafe Coffee Day,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,63
8583,Chinese X'Press,Chinese,600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,16
300756,Cinch,"North Indian, Chinese, Continental",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.6,Orange,Average,92
4239,Costa Coffee,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,60
18168161,Domino's Pizza,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,17
18381223,Dosa X'press,South Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,6
18034077,Kebab Xpress,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,14
3824,Let's Noodle,Chinese,700,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,181
2572,McDonald's,"Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,150
8595,Mx Corn,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
309702,Dunkin' Donuts,"Burger, Desserts, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,252
8601,Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,187
1683,Pind Balluchi,"North Indian, Mughlai",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,1.8,Red,Poor,322
